pic, MSE, Ma, NIQE
1.png,9542.9554293661,4.135036103520239,581.6356800933679
10.png,4350.973975840468,4.219805569466965,617.9114063240311
100.png,5433.705521389638,4.320805907523633,560.9067204004218
11.png,8189.844327475645,4.1845352874539445,576.3389646936969
12.png,12972.04033249318,4.160574072718549,597.1569575521239
13.png,9637.253706013715,4.220573657619708,571.2889646775203
14.png,8612.112192800329,4.192373229007266,568.3872743457506
15.png,6003.138695736195,4.227713603405036,595.7799798163643
16.png,4586.137382493074,4.211891342364391,597.0818707003938
17.png,9409.80504334891,4.214604159843755,573.2587247218268
18.png,12983.360405724881,4.204563737813523,595.5710500677405
19.png,9287.85366092151,4.198459500148248,581.6421024505908
2.png,8309.817263483626,4.126003117976076,566.3421814761613
20.png,6800.162222478494,4.13770040250315,624.7545445491426
21.png,4459.7566956559795,4.161065405132192,574.7829088705166
22.png,9548.341881633152,4.200111457396261,587.5764905508598
23.png,13239.171386516602,4.108060422775544,592.9350177627424
24.png,5610.718800302592,4.189174309680578,610.456639156729
25.png,6459.454141799198,4.194631238013238,583.8137447027951
26.png,4853.758753882075,4.26408179143117,606.504254250643
27.png,14733.317385445027,4.090140826218667,586.2718279595847
28.png,5080.5789729602375,4.219222593407613,572.2241252135135
29.png,6385.995357406826,4.201383926586563,592.8041867649015
3.png,10046.42361485465,4.1202516580794,586.9166456972923
30.png,8251.893044772205,4.194230700645498,570.316251717902
31.png,10229.227664473461,4.231271478499707,562.7789958020207
32.png,6691.505512623344,4.185307517645393,556.2470285328868
33.png,10366.960960985765,4.29761073919386,545.0876446523205
34.png,9843.674941770378,4.2059032581411255,557.8639655369848
35.png,6661.231002499148,4.220272745113885,611.527226863878
36.png,5552.749106625438,4.206029206330337,589.1947301231951
37.png,7982.857431722481,4.183862253511632,578.3042259260349
38.png,6763.85658412923,4.197525492139755,579.2162513541434
39.png,8569.972135863383,4.196064928573646,537.0885125747457
4.png,6597.245723764285,4.1922483600905815,555.7416560723653
40.png,3281.7195279674597,4.206522599352457,579.944788517372
41.png,10685.471101715897,4.168874581431887,554.8154788336648
42.png,10704.813493145226,4.199874710619619,596.8720787154228
43.png,9460.681618429388,4.18817187514675,564.9271627260828
44.png,8823.24104957186,4.074813081679443,607.1315155652812
45.png,6029.587947194847,4.193242735353138,578.6657778919835
46.png,3615.5648461142887,4.204175568790757,564.2515897195179
47.png,5987.777985895561,4.2352923005007534,552.7716566079934
48.png,6334.335871167472,4.209116032415176,569.2450494070548
49.png,8754.470426324322,4.124224349256842,597.5526748577931
5.png,5241.636416568438,4.201600076338232,574.846008386206
50.png,6423.4343421743115,4.185560702941128,575.3107557419509
51.png,10241.887876655615,4.208129260078334,564.0486663099354
52.png,8590.573466981103,4.193015141146878,564.1336392197522
53.png,8970.40571024747,4.197484965656269,580.9619718252363
54.png,2405.527800707645,4.2258751525736,598.2310889317405
55.png,8686.99322368442,4.107782717908675,610.4255137285916
56.png,7148.387649783846,4.22050841766563,609.6807316827161
57.png,8487.54218103007,4.211085876090298,569.8641027706975
58.png,7692.334735933495,4.305404372080654,579.910934072789
59.png,7152.176584610915,4.2108869574705245,562.5407198652291
6.png,13898.370074166149,4.093498749364358,578.6304502379653
60.png,8280.323602485087,4.223871402002899,528.4441589240244
61.png,12088.869478476943,4.1972563986794675,557.505516198625
62.png,11473.970157220972,4.237945273320383,578.8103161174756
63.png,5715.633638864996,4.1968676756045005,576.6640662533583
64.png,4899.061750911918,4.193340861761219,576.7243187353703
65.png,6901.456590164773,4.20374639163734,585.2016886339213
66.png,12481.980036548648,4.187421532725835,596.4042982755064
